state,Year,Quater,categories,type,count,amount
andaman-&-nicobar-islands,2018,Q1,Recharge & bill payments,TOTAL,4200,1845307.467365509
andaman-&-nicobar-islands,2018,Q1,Peer-to-peer payments,TOTAL,1871,12138655.299749982
andaman-&-nicobar-islands,2018,Q1,Merchant payments,TOTAL,298,452507.168646613
andaman-&-nicobar-islands,2018,Q1,Financial Services,TOTAL,33,10601.419933464951
andaman-&-nicobar-islands,2018,Q1,Others,TOTAL,256,184689.8662902223
andaman-&-nicobar-islands,2018,Q2,Recharge & bill payments,TOTAL,6735,2320944.731074479
andaman-&-nicobar-islands,2018,Q2,Peer-to-peer payments,TOTAL,3575,24511925.231047668
andaman-&-nicobar-islands,2018,Q2,Merchant payments,TOTAL,603,1024491.0133579008
andaman-&-nicobar-islands,2018,Q2,Financial Services,TOTAL,59,121336.0270987509
andaman-&-nicobar-islands,2018,Q2,Others,TOTAL,368,359838.50537474576
andaman-&-nicobar-islands,2018,Q3,Recharge & bill payments,TOTAL,8636,4343504.868377829
andaman-&-nicobar-islands,2018,Q3,Peer-to-peer payments,TOTAL,6448,49270781.54163504
andaman-&-nicobar-islands,2018,Q3,Merchant payments,TOTAL,945,1627359.8394868043
andaman-&-nicobar-islands,2018,Q3,Financial Services,TOTAL,42,1481.4907042806483
andaman-&-nicobar-islands,2018,Q3,Others,TOTAL,194,314343.39410715323
andaman-&-nicobar-islands,2018,Q4,Recharge & bill payments,TOTAL,11517,5450549.512294375
andaman-&-nicobar-islands,2018,Q4,Peer-to-peer payments,TOTAL,10451,81001456.97825177
andaman-&-nicobar-islands,2018,Q4,Merchant payments,TOTAL,1421,3552027.735492656
andaman-&-nicobar-islands,2018,Q4,Financial Services,TOTAL,29,76035.7877393286
andaman-&-nicobar-islands,2018,Q4,Others,TOTAL,340,468266.0606770435
andaman-&-nicobar-islands,2019,Q1,Recharge & bill payments,TOTAL,15263,6611459.872972583
andaman-&-nicobar-islands,2019,Q1,Peer-to-peer payments,TOTAL,13119,91808345.86839552
andaman-&-nicobar-islands,2019,Q1,Merchant payments,TOTAL,1759,3266589.8469614363
andaman-&-nicobar-islands,2019,Q1,Financial Services,TOTAL,62,116250.436718611
andaman-&-nicobar-islands,2019,Q1,Others,TOTAL,283,497094.6484417205
andaman-&-nicobar-islands,2019,Q2,Recharge & bill payments,TOTAL,14676,7242448.256212333
andaman-&-nicobar-islands,2019,Q2,Peer-to-peer payments,TOTAL,14481,107525358.66652842
andaman-&-nicobar-islands,2019,Q2,Merchant payments,TOTAL,4031,4702152.616619372
andaman-&-nicobar-islands,2019,Q2,Financial Services,TOTAL,124,113278.91371326068
andaman-&-nicobar-islands,2019,Q2,Others,TOTAL,377,671471.222589792
andaman-&-nicobar-islands,2019,Q3,Recharge & bill payments,TOTAL,16219,8171737.705916681
andaman-&-nicobar-islands,2019,Q3,Peer-to-peer payments,TOTAL,13767,101079821.10344616
andaman-&-nicobar-islands,2019,Q3,Merchant payments,TOTAL,3519,4428734.574846684
