year,quater,state,type,count,amount
2018,Q1,maharashtra,TOTAL,16387034,21711613257.725674
2018,Q1,uttar pradesh,TOTAL,12537805,13939970923.223106
2018,Q1,karnataka,TOTAL,12016899,19217895314.012802
2018,Q1,west bengal,TOTAL,11710225,10625978552.140453
2018,Q1,andhra pradesh,TOTAL,9039585,11996276391.823706
2018,Q1,telangana,TOTAL,8522766,13308204118.542435
2018,Q1,madhya pradesh,TOTAL,8025395,8681603403.446348
2018,Q1,rajasthan,TOTAL,7591690,8926293130.72684
2018,Q1,delhi,TOTAL,7122754,11211503806.91996
2018,Q1,tamil nadu,TOTAL,6726622,11261557697.516891
2018,Q2,maharashtra,TOTAL,22285740,36357057241.12254
2018,Q2,west bengal,TOTAL,18082446,18629183470.204285
2018,Q2,uttar pradesh,TOTAL,17710943,25720201695.701435
2018,Q2,karnataka,TOTAL,17116447,33515580081.29709
2018,Q2,andhra pradesh,TOTAL,12353918,22883914272.633617
2018,Q2,telangana,TOTAL,10764670,23017201517.652737
2018,Q2,madhya pradesh,TOTAL,10561412,15924081066.680984
2018,Q2,tamil nadu,TOTAL,9992128,20125844276.267662
2018,Q2,rajasthan,TOTAL,9973697,15559086175.759623
2018,Q2,delhi,TOTAL,9373723,17446299902.205147
2018,Q3,west bengal,TOTAL,53705416,41843934183.177635
2018,Q3,maharashtra,TOTAL,31538538,52260817733.24835
2018,Q3,odisha,TOTAL,30052155,23094515775.585762
2018,Q3,uttar pradesh,TOTAL,26515356,37012114369.23937
2018,Q3,karnataka,TOTAL,25980261,48225091755.80772
2018,Q3,andhra pradesh,TOTAL,25626061,35718044599.21416
2018,Q3,telangana,TOTAL,19332703,32030093209.72354
2018,Q3,delhi,TOTAL,18547048,27375846860.618515
2018,Q3,madhya pradesh,TOTAL,17126985,24149742204.673225
2018,Q3,tamil nadu,TOTAL,15774078,29330092241.18405
2018,Q4,maharashtra,TOTAL,46090223,79518937047.82959
2018,Q4,karnataka,TOTAL,44812071,73008386576.05942
2018,Q4,west bengal,TOTAL,36513548,40489619211.70402
2018,Q4,uttar pradesh,TOTAL,36100767,55096743575.91497
2018,Q4,andhra pradesh,TOTAL,30759548,51473779406.84041
2018,Q4,delhi,TOTAL,29187719,39722857618.706436
2018,Q4,telangana,TOTAL,28921154,49509088448.04927
2018,Q4,tamil nadu,TOTAL,22457444,43302073975.890976
2018,Q4,madhya pradesh,TOTAL,21397555,33905608072.964783
2018,Q4,odisha,TOTAL,21142798,23429869571.55922
2019,Q1,karnataka,TOTAL,86587609,117976382145.74966
2019,Q1,maharashtra,TOTAL,75079069,111420690920.33997
2019,Q1,telangana,TOTAL,65290702,95523262035.66321
2019,Q1,uttar pradesh,TOTAL,57324504,76524180134.0167
2019,Q1,andhra pradesh,TOTAL,57264522,83760595917.0792
2019,Q1,west bengal,TOTAL,47626388,50164672623.8785
2019,Q1,delhi,TOTAL,47007327,58469131789.49733
2019,Q1,rajasthan,TOTAL,43956040,61141158575.55252
2019,Q1,madhya pradesh,TOTAL,37301049,48070279522.042015
2019,Q1,odisha,TOTAL,34031942,35427127930.698456
2019,Q2,karnataka,TOTAL,115401604,163702024226.0841
2019,Q2,maharashtra,TOTAL,101149853,153294470088.05945
2019,Q2,telangana,TOTAL,89610379,155676443182.43457
2019,Q2,uttar pradesh,TOTAL,58883500,98917519370.67831
2019,Q2,delhi,TOTAL,57171512,81706816063.62862
2019,Q2,andhra pradesh,TOTAL,56409015,113634518758.22931
2019,Q2,rajasthan,TOTAL,50009286,89107313172.66756
2019,Q2,west bengal,TOTAL,47023535,57105691119.11844
2019,Q2,madhya pradesh,TOTAL,40846013,68334566380.56182
2019,Q2,tamil nadu,TOTAL,32171737,64207676025.75553
2019,Q3,karnataka,TOTAL,170733735,214536720438.18292
2019,Q3,maharashtra,TOTAL,148735581,199617506744.94272
2019,Q3,telangana,TOTAL,121495376,201930021130.42365
2019,Q3,andhra pradesh,TOTAL,76288614,139447944254.78943
2019,Q3,delhi,TOTAL,69537876,103196812046.45712
2019,Q3,uttar pradesh,TOTAL,68623959,111268137475.02844
2019,Q3,rajasthan,TOTAL,67303617,112468290031.92343
2019,Q3,west bengal,TOTAL,66444829,70540532616.82985
2019,Q3,madhya pradesh,TOTAL,53610411,77676321491.22867
2019,Q3,odisha,TOTAL,41422272,57304577359.217094
2019,Q4,karnataka,TOTAL,237796252,295047143447.2384
2019,Q4,maharashtra,TOTAL,201260620,272994428799.56488
2019,Q4,telangana,TOTAL,163572258,280746765547.7425
2019,Q4,andhra pradesh,TOTAL,107218103,200948315488.80518
2019,Q4,west bengal,TOTAL,96805838,88203610254.64601
2019,Q4,uttar pradesh,TOTAL,86905005,145538926507.3059
2019,Q4,rajasthan,TOTAL,85074242,159452410049.68317
2019,Q4,delhi,TOTAL,80744997,129024467424.89066
2019,Q4,madhya pradesh,TOTAL,68131989,104687926790.8659
2019,Q4,odisha,TOTAL,64995633,79769373632.04843
2020,Q1,karnataka,TOTAL,271033890,353402054999.4003
2020,Q1,maharashtra,TOTAL,238944081,319995196718.0683
2020,Q1,telangana,TOTAL,199409525,371343780368.2118
2020,Q1,andhra pradesh,TOTAL,127677357,252737214289.0485
2020,Q1,rajasthan,TOTAL,102258812,190308238561.00217
2020,Q1,uttar pradesh,TOTAL,97239132,172416434960.69037
2020,Q1,delhi,TOTAL,81747604,133616543642.58943
2020,Q1,madhya pradesh,TOTAL,79366746,126737281436.18527
2020,Q1,tamil nadu,TOTAL,66953473,116569686179.4346
2020,Q1,west bengal,TOTAL,66250381,96653305190.9406
2020,Q2,karnataka,TOTAL,213221712,321104877020.14185
2020,Q2,maharashtra,TOTAL,184790761,296359517159.4161
2020,Q2,telangana,TOTAL,152055143,321531839352.42236
2020,Q2,andhra pradesh,TOTAL,144917855,302583689746.5449
2020,Q2,rajasthan,TOTAL,101954656,193763273003.28284
2020,Q2,uttar pradesh,TOTAL,100851965,178744016130.31216
2020,Q2,madhya pradesh,TOTAL,76340573,147922015289.08447
2020,Q2,delhi,TOTAL,66042018,107873438203.3316
2020,Q2,west bengal,TOTAL,57676797,100099431877.35757
2020,Q2,bihar,TOTAL,53386742,128806523628.85289
2020,Q3,karnataka,TOTAL,300360531,470740515696.6945
2020,Q3,maharashtra,TOTAL,268310924,440307079012.4761
2020,Q3,telangana,TOTAL,236372126,505961144755.88367
2020,Q3,andhra pradesh,TOTAL,204902935,467084130584.9388
2020,Q3,rajasthan,TOTAL,149088676,293678306162.4698
2020,Q3,uttar pradesh,TOTAL,127405259,248689955423.05322
2020,Q3,madhya pradesh,TOTAL,108579881,205701679984.5376
2020,Q3,delhi,TOTAL,96491861,175163962804.6604
2020,Q3,west bengal,TOTAL,79954504,156813355855.1383
2020,Q3,bihar,TOTAL,71503748,173328865111.81442
2020,Q4,karnataka,TOTAL,431536984,658036698565.0032
2020,Q4,maharashtra,TOTAL,407621004,622155530832.2585
2020,Q4,telangana,TOTAL,343643787,696350439226.9452
2020,Q4,andhra pradesh,TOTAL,286118552,654841546033.3186
2020,Q4,rajasthan,TOTAL,190283435,386034779836.48376
2020,Q4,uttar pradesh,TOTAL,178167517,357428826778.2578
2020,Q4,madhya pradesh,TOTAL,153652541,284275139772.3589
2020,Q4,delhi,TOTAL,120540417,216265088224.54358
2020,Q4,tamil nadu,TOTAL,111179701,206473197500.99268
2020,Q4,west bengal,TOTAL,100340645,199165491365.6468
2021,Q1,karnataka,TOTAL,523797492,754995357412.3948
2021,Q1,maharashtra,TOTAL,517860240,769887352153.2483
2021,Q1,telangana,TOTAL,412572110,799359264046.5657
2021,Q1,andhra pradesh,TOTAL,289747970,672444670176.5881
2021,Q1,rajasthan,TOTAL,252730919,491492581657.63354
2021,Q1,uttar pradesh,TOTAL,204499547,396287587577.55756
2021,Q1,madhya pradesh,TOTAL,201998498,343533954382.3015
2021,Q1,delhi,TOTAL,157359004,266928345043.49225
2021,Q1,tamil nadu,TOTAL,136556674,248668143873.65317
2021,Q1,west bengal,TOTAL,118254052,242937207475.51984
2021,Q2,maharashtra,TOTAL,573616486,915115055623.7152
2021,Q2,karnataka,TOTAL,530649046,837887151230.051
2021,Q2,telangana,TOTAL,495867544,1027958332797.5903
2021,Q2,andhra pradesh,TOTAL,352767134,850737499108.2987
