year,Quater,state,registered_users
2018,Q1,maharashtra,6106994
2018,Q1,uttar pradesh,4694250
2018,Q1,karnataka,3717763
2018,Q1,andhra pradesh,3336450
2018,Q1,telangana,3315560
2018,Q1,rajasthan,3158202
2018,Q1,gujarat,2690048
2018,Q1,west bengal,2604789
2018,Q1,madhya pradesh,2553603
2018,Q1,bihar,2133804
2018,Q2,maharashtra,8222371
2018,Q2,uttar pradesh,6442554
2018,Q2,karnataka,5030665
2018,Q2,andhra pradesh,4402540
2018,Q2,telangana,4260115
2018,Q2,rajasthan,4212964
2018,Q2,west bengal,3833795
2018,Q2,gujarat,3565825
2018,Q2,madhya pradesh,3441662
2018,Q2,bihar,3005872
2018,Q3,maharashtra,10435033
2018,Q3,uttar pradesh,8096483
2018,Q3,karnataka,6372649
2018,Q3,andhra pradesh,5427617
2018,Q3,rajasthan,5175453
2018,Q3,telangana,5138501
2018,Q3,west bengal,4851740
2018,Q3,gujarat,4433183
2018,Q3,madhya pradesh,4309309
2018,Q3,tamil nadu,3900177
2018,Q4,maharashtra,13381602
2018,Q4,uttar pradesh,10341964
2018,Q4,karnataka,8315802
2018,Q4,andhra pradesh,6857409
2018,Q4,telangana,6529679
2018,Q4,rajasthan,6358738
2018,Q4,west bengal,6279278
2018,Q4,gujarat,5579040
2018,Q4,madhya pradesh,5365442
2018,Q4,tamil nadu,5199878
2019,Q1,maharashtra,16284451
2019,Q1,uttar pradesh,12458661
2019,Q1,karnataka,10266174
2019,Q1,andhra pradesh,8283019
2019,Q1,telangana,7963425
2019,Q1,rajasthan,7712204
2019,Q1,west bengal,7449425
2019,Q1,gujarat,6652536
2019,Q1,madhya pradesh,6414403
2019,Q1,tamil nadu,6296303
2019,Q2,maharashtra,18776975
2019,Q2,uttar pradesh,14316349
2019,Q2,karnataka,11968087
2019,Q2,andhra pradesh,9389003
2019,Q2,telangana,9046007
2019,Q2,rajasthan,8783935
2019,Q2,west bengal,8612795
2019,Q2,gujarat,7574645
2019,Q2,tamil nadu,7429609
2019,Q2,madhya pradesh,7301172
2019,Q3,maharashtra,21313081
2019,Q3,uttar pradesh,16044607
2019,Q3,karnataka,13635075
2019,Q3,andhra pradesh,10458693
2019,Q3,telangana,10090557
2019,Q3,rajasthan,9797304
2019,Q3,west bengal,9643222
2019,Q3,gujarat,8429299
2019,Q3,tamil nadu,8428835
2019,Q3,madhya pradesh,8180664
2019,Q4,maharashtra,23745297
2019,Q4,uttar pradesh,17949542
2019,Q4,karnataka,15385416
2019,Q4,andhra pradesh,11757883
2019,Q4,telangana,11220691
2019,Q4,rajasthan,10925031
2019,Q4,west bengal,10885058
2019,Q4,tamil nadu,9620493
2019,Q4,gujarat,9323799
2019,Q4,madhya pradesh,9165241
2020,Q1,maharashtra,26168390
2020,Q1,uttar pradesh,20136256
2020,Q1,karnataka,17016980
2020,Q1,andhra pradesh,13022060
2020,Q1,telangana,12306860
2020,Q1,rajasthan,12142053
2020,Q1,west bengal,11960822
2020,Q1,tamil nadu,10872368
2020,Q1,gujarat,10259843
